"Products list"
"ref","description","Base imp.","IVA","Total",
"CATERINGMENU2","Menu 1_consumidores","3.16","0.00","3.16",
"CATERINGMENU3","Racion PAN, VINO O FRUTA_colaboradores","0.21","0.00","0.21",
"CATERINGMENU4","Racion PAN, VINO O FRUTA_consumidores","0.32","0.00","0.32",
"CATERINGMENU5","Racion Pasta_Colaboradores","0.84","0.00","0.84",
"CEIESPA0003","Cafe Natural en grano -Espanica- 1 kilo","13.68","10.00","15.05",
"CEIESPA0004","Cafe Mezcla 70/30 en grano -Espanica -1 kilo","13.14","10.00","14.45",
"CEIESPA0013","Cafe mezcla -Espanica-  250 gr","3.41","10.00","3.75",
"CEIESPA0014","Cafe natural -Espanica- 250 gramos","3.41","10.00","3.75",
"CEIESPA0015","Cafe Natural Ecologico -Espanica - 250 gr","4.55","10.00","5.00",
"CEIESPA0016","Cafe Natural en Grano-Espanica -500 gr","6.73","10.00","7.40",
"CEIESPA0020","Cafe en grano Ecologico - 1kg - Espanica-","16.23","10.00","17.85",
"CEIHERB0001","Te negro- Herbes del moli-20 saquitos","2.09","10.00","2.30",
"CEIHERB0002","Te rooibos- Herbes del moli- 20 saquitos","2.18","10.00","2.40",
"CEIHERB0003","Te verde- Herbes del moli-20 saquitos","2.09","10.00","2.30",
"CEIHERB0004","Te Verde con menta-Herbes del moli- 20 saquitos","2.23","10.00","2.45",
"CEIHERB0005","Tisana Antiestres- Herbes del Moli- 20 saquitos","2.41","10.00","2.65",
"CEIHERB0006","Tisana Depurat- Herbes del moli-20 saquitos","2.41","10.00","2.65",
"CEIHERB0007","Tisana Respirt- Herbes del moli- 20 saquitos","2.41","10.00","2.65",
"CEIHERB0008","Tisana Duermet- Herbes del moli-20 saquitos","2.41","10.00","2.65",
"CEIHERB0009","Menta poleo- Herbes del moli- 20 saquitos","2.09","10.00","2.30",
"CEIHERB0010","Manzanilla- Herbes del moli- 20 saquitos","2.18","10.00","2.40",
"CEIHERB0011","Manzanilla con Anis- Herbes del Moli- 20 saquitos","2.32","10.00","2.55",
"CEIHERB0012","Tila- Herbes del moli- 20 saquitos","2.41","10.00","2.65",
"CEIHERB0016","Tisana Laxa-T- Herbes del Moli- 20 saquitos","2.09","10.00","2.30",
"CEIHERB0017","Tisana Silue-T- Herbes del Moli- 20 saquitos","2.09","10.00","2.30",
"CEIHERB0018","Tisana Circula-T- Herbes del Moli- 20 saquitos","2.41","10.00","2.65",
